"GeneID","GeneName","Mean_Exp","Mean_Ctrl","Log2FC","T_statistic","P_value","D_value","Significant"
"fecB","fecB",6,8.83333333333333,-0.490325626583081,-0.345967510507527,0.743501747228966,-0.227472614490134,"Not Significant"
"fecC","fecC",44.875,44.8333333333333,0.00131094515234677,0.00381221492101615,0.997136214930885,0.00277335190227586,"Not Significant"
"fecD","fecD",144.125,52.3333333333333,1.44418666269936,1.71500770891091,0.182854420108536,1.09684254375593,"Not Significant"
"fecE","fecE",769.125,264.666666666667,1.53547540704537,2.59700924184388,0.0494611119877598,1.82614144734871,"Not Significant"
"fecI","fecI",243.625,104,1.22018252296068,1.47917959415413,0.207377988617357,1.00286036132368,"Not Significant"
"fecR","fecR",635.5,324,0.969720795985541,1.25383588283584,0.276373359768662,0.844546378041332,"Not Significant"
"feoA","feoA",85.375,40.3333333333333,1.06330809072254,2.28308677545483,0.0717850037737702,1.5666584846364,"Not Significant"
"feoB","feoB",40.25,26.6666666666667,0.576245283620047,0.573293658884702,0.591734240283024,0.410165490345124,"Not Significant"
"fepA","fepA",111.25,51,1.11013191660005,1.50842188413079,0.219184676266208,0.971832011849301,"Not Significant"
"fepB","fepB",92.375,58.3333333333333,0.654193502543996,1.11103003687401,0.33906524293734,0.71337668083662,"Not Significant"
"fepC","fepC",66.375,18.3333333333333,1.80112296834609,1.59059904113632,0.198329408151015,1.022879953028,"Not Significant"
"fepD","fepD",96.625,20.3333333333333,2.19414123886314,1.84438625685905,0.139939256840187,1.21688610733205,"Not Significant"
"fepE","fepE",107.125,49.3333333333333,1.10311408392016,2.95961741286041,0.0829187252050075,2.50140975662787,"Positive Hit"
"fepG","fepG",77.75,27.8333333333333,1.44954229147171,3.47956021571014,0.0379848934819339,2.15820487481142,"Positive Hit"
"fes","fes",99.25,48.6666666666667,1.01325240671392,1.75317141501552,0.174662806975864,1.11173991438073,"Not Significant"
"ffh","ffh",196.25,65.5,1.56859905451227,5.01857144611388,0.0100642210479788,3.9175860009953,"Positive Hit"
"fhiA","fhiA",66.25,20,1.67914493977786,1.10992230815755,0.318244257743451,0.802214765176353,"Not Significant"
"fhlA","fhlA",319.375,231.833333333333,0.460463958603271,0.758882789909861,0.484574057305417,0.568455145388542,"Not Significant"
"fhuA","fhuA",165.625,82.5,0.996756772614921,1.37729973105318,0.229545751986784,0.951088373452234,"Not Significant"
"fhuB","fhuB",1015.625,588.833333333333,0.785408352854794,1.24694664382071,0.299767580350809,0.804826966299488,"Not Significant"
"fhuC","fhuC",918.25,356.666666666667,1.36184160116793,0.887711772360843,0.428271409246284,0.589395999453179,"Not Significant"
"fhuD","fhuD",712.125,407,0.805585829204548,1.15028972897204,0.331544346747235,0.74302842721069,"Not Significant"
"fhuE","fhuE",198.5,43,2.18081331758505,2.18237105931697,0.10856008040841,1.41389581808546,"Not Significant"
"fhuF","fhuF",111.375,59.8333333333333,0.885387152468224,1.09455783620006,0.328922903383494,0.741254849601341,"Not Significant"
"fic","fic",60.375,5.66666666666667,3.20261362014849,3.28561253866339,0.0451861274709803,2.0456044764952,"Positive Hit"
"fieF","fieF",10,-3.16666666666667,NA,0.853493139885,0.4736929200919,0.714272131301102,"Not Significant"
"fimA","fimA",132.75,66,0.997305890830737,1.29240122223588,0.278734745473384,0.834754821700127,"Not Significant"
"fimB","fimB",38.5,58,-0.578862301184738,-0.618696983154834,0.571625616253024,-0.403240736818364,"Not Significant"
"fimC","fimC",204.5,106.333333333333,0.937040206288222,1.10351978026799,0.333979762657646,0.731562947472451,"Not Significant"
"fimD","fimD",95.25,33.1666666666667,1.49419703679797,1.61193873833202,0.194700006310713,1.03971515869603,"Not Significant"
"fimE","fimE",49.375,35.5,0.46481146964795,0.791277510262236,0.480461036345598,0.500176907339817,"Not Significant"
"fimF","fimF",311.5,156.333333333333,0.990031830908764,1.23001568315081,0.283729240053069,0.827710806036049,"Not Significant"
"fimG","fimG",34,3.66666666666667,2.90689059560852,1.33337806090331,0.272882776497211,0.83909278086268,"Not Significant"
"fimH","fimH",384.875,110,1.79757390126502,3.21555038277172,0.0274162125340593,2.19270420255081,"Positive Hit"
"fimI","fimI",251.5,34.1666666666667,2.84400288965313,1.40322092414626,0.251299491651715,0.907236572086107,"Not Significant"
"fimZ","fimZ",208.625,113,0.878776959399605,0.724356147515998,0.50800824548666,0.486422929030602,"Not Significant"
"fis","fis",273.75,183.666666666667,0.573196005621199,0.96485441818125,0.379123601367186,0.683980340978263,"Not Significant"
"fiu","fiu",73,49.8333333333333,0.541750433899857,1.40386136977625,0.234498883103105,0.903533471812264,"Not Significant"
"fixA","fixA",152.75,51.5,1.55019708256048,0.945774336953658,0.410451217661792,0.611295988455411,"Not Significant"
"fixB","fixB",455.125,215.833333333333,1.07284268958784,1.28148652860084,0.269067362941135,0.858606767162432,"Not Significant"
"fixC","fixC",315.375,135.166666666667,1.21626202468616,1.67672528052215,0.179197258773861,1.09735304276838,"Not Significant"
"fixX","fixX",262.125,69.6666666666667,1.89664656411172,3.00203476912688,0.0338243884228622,2.04723344653967,"Positive Hit"
"fklB","fklB",1271.125,363.166666666667,1.80456965892871,1.79033515765576,0.153548985029148,1.1874309849763,"Not Significant"
"fkpA","fkpA",50,15.6666666666667,1.61353165291793,1.95808998044561,0.131092578520513,1.24474717838274,"Not Significant"
"fkpB","fkpB",1404.875,366.166666666667,1.93696133202952,1.0659038988155,0.359237633237772,0.694552965530978,"Not Significant"
"fldA","fldA",150.375,100,0.583771666942534,0.658224098392123,0.54206079143258,0.450239914479051,"Not Significant"
"fldB","fldB",192.375,114.166666666667,0.747678081781933,0.997110605482915,0.386763991266606,0.645267093231445,"Not Significant"
"flgA","flgA",203.125,71.3333333333333,1.49672034383837,2.08609167519571,0.0934694343947664,1.44649755936232,"Not Significant"
"flgB","flgB",109,31,1.78135971352466,1.4670810352708,0.228799314928489,0.949883304801362,"Not Significant"
"flgC","flgC",137.25,73.1666666666667,0.898436645102103,1.49518392793571,0.215013609168556,0.977131058941921,"Not Significant"
"flgD","flgD",78.125,65.8333333333333,0.243565763694577,0.277796867294555,0.793199299650755,0.206570145955503,"Not Significant"
"flgE","flgE",196.875,191.166666666667,0.0422312432065656,0.0448218743032638,0.967286324390798,0.0377441957307574,"Not Significant"
"flgF","flgF",69.5,43.3333333333333,0.66923141761876,0.4919346457074,0.64412810012222,0.359202326012548,"Not Significant"
"flgG","flgG",136.125,48,1.48463796628798,1.35029145356869,0.261852472129552,0.873926007414367,"Not Significant"
"flgH","flgH",93.125,30.8333333333333,1.56403972735734,1.66426902701644,0.186225024511639,1.06899890179793,"Not Significant"
"flgI","flgI",138.375,80.5,0.77409984057659,0.811468972750568,0.476196434656272,0.519465582415117,"Not Significant"
"flgJ","flgJ",705.25,435.333333333333,0.694748270965828,0.660280091229476,0.544993104507635,0.443390248537437,"Not Significant"
"flgK","flgK",307.125,3303.83333333333,-3.42298987014144,-0.926585464809225,0.451878295368177,-0.845407046977807,"Not Significant"
"flgL","flgL",56.5,61.6666666666667,-0.124136300012106,-0.201841995617517,0.851992766071609,-0.128402154790669,"Not Significant"
"flgM","flgM",115.375,61.1666666666667,0.904568038024712,1.38176676401987,0.238797064547323,0.913915017356461,"Not Significant"
"flgN","flgN",54.125,18,1.53670733211394,0.89350443341603,0.432881476857557,0.573307212994704,"Not Significant"
"flhA","flhA",131.125,102,0.359259134199465,0.543414952766346,0.612797576416634,0.368370983451662,"Not Significant"
"flhB","flhB",-2,11.1666666666667,NA,-1.55185623231429,0.195540027965686,-1.11366592587626,"Not Significant"
"flhC","flhC",192.875,82.3333333333333,1.21816118709516,1.69646321971453,0.159497235417346,1.14488721802386,"Not Significant"
"flhD","flhD",135.75,78.3333333333333,0.785541760205769,1.35164832654884,0.265329756016161,0.864716468537721,"Not Significant"
"flhE","flhE",163,72.6666666666667,1.15461194594781,1.45879562317336,0.212490185782631,0.98570429798474,"Not Significant"
"fliA","fliA",139.375,94,0.563286604069653,0.668329998468862,0.534814499126447,0.493461880793894,"Not Significant"
"fliC","fliC",-1.125,4.5,NA,-0.382571372158943,0.725714107126858,-0.297036876132884,"Not Significant"
