C4205,C4205,1079.0,535.0,1667.5,932.5,760.5,212.0,272.0
C4206,C4206,681.0,373.0,359.0,211.5,291.5,62.0,91.0
C4207,C4207,787.5,264.5,568.0,421.5,323.0,204.0,75.0
C4208,C4208,1033.5,451.5,1420.0,650.0,766.5,209.0,146.0
C4367,C4367,622.5,607.0,967.0,474.5,242.0,291.0,97.0
C4368,C4368,142.0,135.5,583.0,121.5,111.0,45.0,118.5
C4369,C4369,568.0,304.5,790.0,262.0,274.5,-7.0,93.5
C4370,C4370,17.0,-34.5,-29.5,14.5,-34.5,-24.0,-4.0
C4412,C4412,504.0,204.0,754.5,192.5,298.5,101.0,125.5
C4413,C4413,0.0,13.0,10.0,-14.0,20.5,11.5,-14.0
C4414,C4414,487.5,411.0,691.5,249.5,265.0,218.0,107.5
C4415,C4415,464.5,240.0,744.5,211.0,261.5,125.5,34.5
C4416,C4416,0.0,31.5,22.0,-4.0,5.5,15.5,18.0
C4417,C4417,4403.5,4471.0,5443.5,3442.0,5404.0,1322.0,1515.5
C4465,C4465,502.25,258.0,753.5,215.75,411.0,75.0,124.75
C4466,C4466,566.75,253.5,571.75,469.5,186.75,90.5,50.5
C4467,C4467,-1.0,-29.5,-10.0,0.0,-18.5,0.0,3.0
C4468,C4468,111.25,110.25,1050.5,148.75,161.0,117.75,11.75
C4473,C4473,0.0,-46.5,14.5,11.0,-1.5,-21.0,1.5
C4474,C4474,513.5,241.0,2088.0,489.0,437.0,171.5,84.0
C4475,C4475,-22.5,2.0,21.5,3.5,-1.0,-8.0,0.0
C4476,C4476,156.0,128.0,456.0,191.5,221.0,86.5,108.0
C4526,C4526,258.5,206.0,364.5,136.0,140.5,35.0,52.0
C4527,C4527,350.0,195.5,548.5,268.5,172.5,83.5,12.5
C4528,C4528,547.5,154.5,1028.5,154.0,348.0,184.5,93.5
C4529,C4529,590.5,988.5,1043.5,234.5,182.5,237.5,38.5
C4530,C4530,576.5,303.5,611.5,248.0,307.5,110.0,110.5
C4556,C4556,537.5,257.0,1503.0,569.5,340.5,112.0,53.5
C4557,C4557,75.0,51.5,193.0,86.0,66.5,64.5,32.0
C4583,C4583,289.0,112.0,616.0,178.0,139.0,29.5,19.5
C4584,C4584,535.5,246.0,1030.0,207.5,379.5,206.0,68.5
C4585,C4585,469.5,203.0,267.0,201.0,130.5,70.0,17.5
C4586,C4586,1053.0,160.0,2539.0,177.0,1478.0,415.0,143.0
C4587,C4587,0.0,-23.5,-36.5,24.0,-3.0,-14.5,-19.5
C4588,C4588,291.5,174.0,463.5,287.0,185.5,63.5,41.0
C4589,C4589,327.5,245.5,424.5,84.0,164.0,110.5,53.5
C4620,C4620,777.0,313.0,838.5,305.0,337.5,213.5,77.0
C4621,C4621,0.5,8.0,26.5,8.5,-14.0,35.0,-30.5
C4622,C4622,598.0,262.0,341.5,413.5,175.0,53.0,50.5
C4623,C4623,230.0,160.5,307.5,156.5,109.0,92.5,84.0
